"Respondent"      "y" "x1"    "x2"    "theta"
        208        0 -1.1903  0.3766  -1.3329
        209        0 -1.4064 -1.9203   0.2261
        210        0 -0.3925 -0.9179  -1.9790
        211        0 -0.1147  0.9212  -1.0631
        212        0 -0.2489  0.9501  -2.0483
        213        0 -0.5375 -0.0517  -1.2430
        214        1  0.8666  0.4918  -0.0469
        215        0  2.2189 -1.0128  -2.0598
        216        0 -0.2971  0.4295   0.2048
        217        1  0.2964 -0.5594   3.5904
        218        1  1.5873  0.7379   2.7996
        219        0  0.2029 -0.1459  -6.5553
        220        1  1.6368  1.4000  -2.3730
        221        0  0.3554 -0.7450  -4.9755
        222        0 -1.5949 -0.1742  -4.2092
        223        0 -1.7148  1.8046  -4.4290
        224        1  1.2648  1.2933  -1.8150
        225        1 -1.2779  0.6327   2.9086
        226        1  1.1660  0.3810   4.5208
        227        1  0.4970 -0.5582   1.0966
        228        1  0.0361  0.8154  -0.4017
        229        0 -0.6144  0.2165  -4.1218
        230        0  1.5068 -0.5505  -4.9996
        231        0 -0.8886  2.2735  -0.4695
        232        1  1.5137 -0.1033   3.3329
        233        1 -0.6798 -0.1525   1.7038
        234        1  0.1110 -0.1227   5.8025
        235        1 -1.5924 -0.5425   2.3461
        236        0 -0.2362  0.1375   0.3781
        237        1 -0.0031  1.8488   0.1498
        238        0  0.0536  0.1561  -0.3993
        239        0  0.0807 -1.0246  -1.3551
        240        1  1.3795  1.4762   0.0947
        241        1 -0.9559  0.0095   2.5864
        242        1  1.0203 -0.4197   1.3532
        243        0 -0.5222  0.3254  -1.9687
        244        0 -0.2757 -2.7466   0.1490
        245        1  0.7674 -0.2035   3.9131
        246        1  1.1608 -0.7891   2.2256
        247        0 -0.0919  0.4782  -0.3744
        248        1  0.7800  1.8831   3.6934
        249        0 -1.0446 -0.6464   0.5145
        250        1  1.4978  0.4816   0.8600
        251        1  0.6891  0.7891  -1.2959
        252        1  1.5036 -0.1485   0.6434
        253        0 -1.7638  0.7052  -2.5219
        254        1  1.4790 -0.1610   4.1797
        255        1  1.2600 -0.6635   1.6351
        256        1  0.1888 -0.0857   1.4348
        257        0  1.6936 -0.0439  -4.8616
        258        0  0.6820  0.0078  -2.7652
        259        0  0.2183 -1.1036  -1.9130
        260        0 -0.9554 -0.1780  -0.8866
        261        0 -0.7160  0.7295  -2.3879
        262        0 -0.1979 -0.1938  -1.6981
        263        0  0.4744 -2.5405   0.4270
        264        1 -0.7229 -0.2700   2.5460
        265        1 -0.3189  0.3473   0.9313
        266        1 -0.2497 -0.3375   1.1298
        267        0  0.4716  0.2317  -0.0733
        268        1  1.6799 -0.0580   1.6588
        269        1  1.2801  0.1180   0.5059
        270        0 -0.8251 -1.2773  -3.6116
        271        0  0.2841 -1.4892  -0.1938
        272        0 -0.0404 -1.5730  -2.5529
        273        1 -0.6422  1.5727  -0.6913
        274        0 -0.1799 -0.3871   0.5862
        275        0  2.0597 -0.3894  -4.0504
        276        1  1.5137  0.7612  -1.0809
        277        0 -0.7823 -0.4369  -2.2531
        278        0 -1.1336  0.9686  -5.2271
        279        0 -2.1503  0.7838   0.2041
        280        0 -0.1187  0.9111  -1.5090
        281        0 -0.8285 -0.3075   0.2048
        282        1  0.2597  2.5155   0.5028
        283        1 -0.2138  0.4384   1.5297
        284        1 -1.4487  0.4672   3.3356
        285        1 -0.2735 -0.1620   2.5397
        286        0  0.9849 -0.9664  -1.6339
        287        0 -1.2980  1.4492  -1.0758
        288        0  0.0378 -0.0285  -2.1095
        289        0 -0.6424 -1.2163  -2.3158
        290        0 -0.8547  1.4979  -2.0129
        291        0 -0.4240  0.6040  -0.8588
        292        0  0.2120 -1.9326  -1.7477
        293        0 -0.5134 -0.5676  -1.9599
        294        0  2.0319  0.4055  -3.4409
        295        0 -0.0310 -1.3019  -1.8403
        296        1  0.1553  1.2426  -0.1861
        297        0  0.6447 -0.6265  -2.2494
        298        0  0.4875 -1.2615   0.6677
        299        1  0.0414 -0.9751   1.6879
        300        1 -1.0888 -0.8801   4.0738
        301        1  0.5949  0.9360  -0.2725
        302        1  1.2416  0.2803   0.7885
        303        1 -1.1959  1.0381   1.4968
        304        1 -1.1766 -0.2092   1.5393
        305        1  0.7092 -0.3030   0.0850
        306        0 -0.4467 -0.1086  -0.2574
        307        0 -0.3287 -0.3813  -2.6375
        308        1  0.1083  0.5166  -1.3527
        309        1 -0.2766 -0.0548   1.2049
        310        0 -0.1851 -0.4890  -1.5022
        311        0  1.3402 -0.6070  -1.7000
        312        0 -0.2507  0.9654  -2.4974
        313        0  0.0314  0.8893  -2.1131
        314        1  0.3733  0.2938   4.1598
        315        1 -0.8231  2.6986  -1.1356
        316        1  1.4105 -0.1255  -1.3522
        317        0 -0.4248 -0.5765  -1.6365
        318        1  0.7903  0.2582   1.6788
        319        0  0.5578 -2.3038  -0.2370
        320        1  1.1628  0.1459   1.0210
        321        1  1.3783  0.6553   2.4410
        322        1 -1.4451  0.8679   1.6685
        323        1  1.8665  0.9748   1.9032
        324        1 -0.0655  0.8218   2.9943
        325        1  0.4369  1.9283   1.5822
        326        1  0.7932 -1.0946   2.1932
        327        1 -0.7414 -0.7103   1.0961
        328        1 -1.3166 -0.4053   2.8965
        329        1  0.9604 -0.7883   2.7719
        330        1 -0.1771  0.5057   2.7906
        331        1 -0.9678 -1.0134   2.6891
        332        1  0.9705  0.0510  -0.7193
        333        1  1.2654  0.8108  -0.6609
        334        0 -1.2426 -0.9681  -4.4659
        335        0  0.3242 -0.5227  -3.4405
        336        0  0.5195  0.4689  -5.6538
        337        0  0.7852  0.4093  -1.1057
        338        0 -1.1521  0.5753  -0.5336
        339        1  0.0045  0.4056   0.7027
        340        0 -0.3878 -1.6802  -1.1709
        341        0  0.8679  0.9453  -1.3102
        342        1  0.4843 -0.3827   2.0053
        343        0 -0.0483  1.2813  -3.5921
        344        0 -0.9989 -0.0492   0.7582
        345        1 -1.5329 -0.7259   4.7656
        346        1 -0.5243 -0.4095   1.0158
        347        0  1.6159 -0.4242  -3.2447
        348        1 -0.0346  1.6687   3.7985
        349        1  0.1175  0.2072   5.3161
        350        1  1.1939  0.0375  -1.5481
        351        0  1.0574 -0.2784  -2.6950
        352        0  1.3358  0.3563  -1.8887
        353        1  0.7720 -0.4674   2.2961
        354        1 -0.7545 -0.3606   3.6022
        355        1  2.4075  0.0509   1.0202
        356        1  0.9071 -0.0890  -0.9128
        357        0 -1.5569  0.6107  -0.1465
        358        0  0.1791 -0.6307  -0.9079
        359        0  0.3531 -1.9677  -1.4040
        360        0  0.7824 -0.8824  -0.4974
        361        0  0.0301  0.1528  -4.6836
        362        1 -0.1481  0.5542  -0.6833
        363        1  0.6516  0.1512   0.5574
        364        0 -1.6152  0.4460   0.2522
        365        0 -1.5004 -0.7782  -0.5641
        366        0  0.9008 -0.0833   0.7089
        367        1  0.6748 -2.6364   1.3593
        368        0 -0.0158 -2.3255   2.1603
        369        1 -1.0178  0.2584   3.8246
        370        0 -0.2262 -1.7842   0.2983
        371        0  0.7022 -0.3905  -2.0844
        372        0 -1.6895  0.0204  -0.4981
        373        1  1.0780  0.1130   0.5984
        374        1  0.0642 -0.0332  -0.2744
        375        1 -0.1968  0.6269   0.0062
        376        0  0.2321 -0.4319  -2.6890
        377        0 -0.3991  0.3418  -1.0067
        378        0 -0.8604  0.4530   0.3121
        379        0  0.5319  0.2938   0.0623
        380        1  1.1157  0.3656   2.5618
        381        0 -1.2646  1.0160   0.3262
        382        1 -2.9885  2.1374   3.6483
        383        1 -0.3599 -0.2629   1.1248
        384        0  0.4474 -0.1865  -0.4966
        385        0 -0.6796 -0.7305   0.0736
        386        1  0.1891 -0.3804   0.8075
        387        0 -0.7844  1.0949  -2.3176
        388        1  1.5358 -0.7609  -1.0891
        389        0  0.6325  1.0401  -3.7854
        390        1  0.9202 -0.0297  -0.0098
        391        1  0.1249  1.3793   1.2790
        392        1  0.2948  0.8035   1.3501
        393        0  0.2323  0.7367  -3.1759
        394        0 -0.9625 -0.5868   0.0248
        395        1  1.6251  1.1295  -1.4941
        396        0 -1.4466  0.5119  -0.6510
        397        0 -0.5051 -1.6596   0.1098
        398        0 -1.5163 -0.5759  -1.8018
        399        0 -2.1931  0.7030  -0.6567
        400        1  0.1979  0.6720  -1.2972
        401        0 -0.1552  1.0805  -1.5361
        402        1  1.7913 -0.1295  -0.5939
        403        1 -0.4461  1.6148   0.1987
        404        1  1.3808  0.5509   3.1125
        405        1 -0.8782  0.0267   3.2314
        406        0  0.3853 -0.2353  -1.0642
        407        0 -1.6654 -1.5029  -0.1768
        408        1  0.7722  0.5387   0.5146
        409        0  0.6485  0.2682   0.5945
        410        1  0.7992  1.3336   1.9518
        411        1  1.7481  1.2159   0.7186
        412        0  0.9530  2.0850  -4.1371
        413        1 -1.6251  1.3601   1.2544
        414        0 -1.1815  1.4860  -3.8377
        415        0  0.3190  0.3105  -1.3532
        416        0  0.6499  0.7974  -1.8933
        417        1  1.6014 -0.4655   3.0647
        418        1  0.4779 -1.2661   3.0010
        419        1  2.2956  0.2375   2.2399
        420        1 -0.6273 -0.6255   3.4464
        421        1  1.1192  1.3723   0.7607
        422        0 -0.5669  1.1034  -0.7197
        423        0  1.0261 -1.0324  -2.8745
        424        0 -1.5024 -1.9164   1.2248
        425        1 -0.8297 -0.2103   1.6604
        426        1 -0.2242 -0.5527   1.9178
        427        1 -1.0624 -0.7873   2.3251
        428        1  0.7152 -0.4050   0.8324
        429        1 -0.0391  1.0492   1.0986
        430        1 -0.2303  0.2668   6.3621
        431        0  0.2219  0.7099  -1.5153
        432        1  0.1059  1.2292   1.1930
        433        0 -0.8421 -0.1702   1.6939
        434        0 -0.4280 -0.0129  -2.5239
        435        0  0.4167 -1.0074  -1.6754
        436        0  0.5712 -0.6004  -1.5655
        437        1  0.5892  0.4231  -1.3649
        438        0 -1.1924  0.4431  -2.2585
        439        1 -0.0441  1.3574  -0.0153
        440        1 -0.4966  0.9658   0.7972
        441        0 -0.2011  1.6169  -0.2175
        442        1 -0.0924  0.4546   0.1204
        443        0  0.2864  0.0686  -0.6122
        444        0  0.0879 -2.2246  -2.2283
        445        0 -0.7566 -0.4299  -1.1434
        446        0 -0.8842  1.8129  -1.7215
        447        1 -0.3336  1.9675  -1.7860
        448        1  0.4000  0.1208   2.4824
        449        1  0.0067 -1.4233   3.6692
        450        1  0.3553 -0.6247   1.0411
        451        1  0.4650  0.9146   0.4527
        452        0 -0.6666  0.4023  -3.1451
        453        1  1.1381 -0.1791  -1.8318
        454        0 -0.8235 -1.1759   1.5138
        455        1  0.8482  0.0003   5.0228
        456        1 -0.6465 -1.6091   1.7236
        457        1  0.3260 -0.1014   1.1678
        458        0 -1.7547  1.0635  -2.4884
        459        0 -0.8467 -0.2625  -0.8224
        460        1 -1.0511  1.5543  -0.6404
        461        1  1.9978 -0.4444   7.3197
        462        1  2.8220  0.0562   5.8899
        463        1  0.4429  0.6157   2.3173
        464        1 -1.2257  2.5692  -0.1014
        465        1  2.0569  0.1234   2.8280
        466        0 -0.0161 -0.9094   0.7833
        467        0  0.2052  0.2087  -0.8315
        468        0 -0.3952 -1.1058  -0.9886
        469        1  1.5419 -0.6661  -0.0697
        470        0  0.3448 -0.7073  -0.0436
        471        1  0.4402  0.4522   0.5575
        472        1  1.0982 -1.7191  -0.8364
        473        1 -0.0328 -1.0081   4.7183
        474        0 -0.8861 -0.2372   1.1041
        475        0  0.0160 -0.1213  -1.5137
        476        0  0.2527 -0.4727  -0.9749
        477        0  0.0828 -2.1358  -0.3978
        478        0  0.4280 -0.7624  -2.0019
        479        0 -1.4930 -0.8629  -0.1181
        480        0  0.8490  0.8694  -4.8754
        481        0 -2.2864  0.2910  -1.4209
        482        0 -1.8038  0.3407  -1.7681
        483        0 -1.9044 -1.4116  -0.2837
        484        0  0.9045  0.4478  -2.2636
        485        1  1.4873  0.1281  -0.6993
        486        1  0.5254  1.0797  -1.1629
        487        1 -0.4883 -0.0650   1.2451
        488        0 -0.3853 -0.4991  -0.7560
        489        0 -0.3657  0.3297  -2.7298
        490        0 -0.5456 -1.3937  -1.7853
        491        0  2.7393 -0.7018  -3.9002
        492        1 -0.6602  0.6152   0.8510
        493        0 -0.2149 -0.0277   0.2175
        494        1  0.8270  0.6024   0.8012
        495        1 -0.9095 -0.2640   5.8617
        496        1 -0.4342  0.0104   3.2699
        497        1  0.0006  0.2560   3.2779
        498        0 -0.8787 -0.1539  -3.1551
        499        0 -0.4069  0.1925  -2.4780
        500        0 -0.9093 -0.1364  -4.1313
